Побег из Шоушенка (1994),9.19,677
Зеленая миля (1999),9.133,581
Форрест Гамп (1994),9.012,550
Список Шиндлера (1993),8.886,316
1+1 (2011),8.828,732
Начало (2010),8.773,616
Леон (1994),8.773,454
Король Лев (1994),8.756,461
Бойцовский клуб (1999),8.711,530
Иван Васильевич меняет профессию (1973),8.708,472
Жизнь прекрасна (1997),8.671,186
Достучаться до небес (1997),8.644,406
Крестный отец (1972),8.633,267
Криминальное чтиво (1994),8.628,434
Операция «Ы» и другие приключения Шурика (1965),8.619,396
Престиж (2006),8.618,443
Игры разума (2001),8.618,382
Интерстеллар (2014),8.584,516
Властелин колец: Возвращение Короля (2003),8.583,401
Гладиатор (2000),8.583,374
Назад в будущее (1985),8.572,400
"Карты, деньги, два ствола (1998)",8.553,333
Матрица (1999),8.528,443
Бриллиантовая рука (1968),8.527,356
Отступники (2006),8.512,340
"Поймай меня, если сможешь (2002)",8.51,380
Пианист (2002),8.508,215
Властелин колец: Братство кольца (2001),8.502,397
В бой идут одни «старики» (1973),8.502,226
ВАЛЛ·И (2008),8.499,373
Тайна Коко (2017),8.497,194
Большой куш (2000),8.494,330
Властелин колец: Две крепости (2002),8.49,371
Американская история X (1998),8.485,266
Джентльмены удачи (1971),8.484,337
Пираты Карибского моря: Проклятие Черной жемчужины (2003),8.471,434
Остров проклятых (2009),8.47,461
Темный рыцарь (2008),8.465,432
Пролетая над гнездом кукушки (1975),8.465,252
Титаник (1997),8.463,490
12 разгневанных мужчин (1956),8.451,92
Запах женщины (1992),8.441,199
Пробуждение (1990),8.437,118
В джазе только девушки (1959),8.436,221
Хатико: Самый верный друг (2008),8.433,325
Унесённые призраками (2001),8.425,286
Огни большого города (1931),8.425,50
"Кавказская пленница, или Новые приключения Шурика (1966)",8.421,322
...А зори здесь тихие (1972),8.421,133
Эта замечательная жизнь (1947),8.416,50
"Хороший, плохой, злой (1966)",8.415,117
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей (1981),8.412,130
Хористы (2004),8.412,107
Семь (1995),8.408,328
Молчание ягнят (1990),8.407,307
Шоу Трумана (1998),8.404,315
Как приручить дракона (2010),8.403,329
Терминатор 2: Судный день (1991),8.402,320
Джанго освобожденный (2012),8.399,382
Клаус (2019),8.399,38
Крестный отец 2 (1974),8.394,152
Собачье сердце (1988),8.377,179
Нокдаун (2005),8.375,117
Игра (1997),8.374,249
Храброе сердце (1995),8.366,191
Шерлок Холмс и доктор Ватсон: Знакомство (1979),8.36,108
Москва слезам не верит (1979),8.359,245
Джентльмены (2019),8.331,175
Гран Торино (2008),8.327,189
Одержимость (2013),8.324,209
