head;comments_count;category;views;link
Всемирный банк показал прогноз для Беларуси по смертям от COVID-19. Что это за цифры?;99;Общество;330468;https://news.tut.by/society/687035.html
Лукашенко наказал Сиваку вместе с милицией навести полный порядок в Минске;607;Общество;279536;https://news.tut.by/society/687075.html
«Противники Лукашенко оказались более пророссийскими, чем он». Как в РФ относятся к выборам;276;Выборы;231727;https://news.tut.by/elections/687023.html
ОБСЕ призывает власти Беларуси проявить сдержанность. Европарламент грозит санкциями из-за арестов;34;Выборы;20318;https://news.tut.by/elections/687140.html
В Беларуси расширили список граждан, которые могут пригнать машину из Европы по льготной растаможке;63;Автобизнес;112824;https://auto.tut.by/news/autobusiness/687102.html
Двое — в эмиграции, двое — умерли. Как сложилась судьба конкурентов Лукашенко на президентских выборах;60;Выборы;201606;https://news.tut.by/elections/686307.html
В Беларуси 44 255 случаев COVID-19. Прирост за сутки — 852 новых случая;128;Общество;138138;https://news.tut.by/society/686996.html
«То есть я также могу оскорбительно высказываться о претендентах в президенты?» Бабарико обратился в ЦИК;706;Выборы;534467;https://news.tut.by/elections/686861.html
«Закрытый гроб привезли прямо к университету». В Витебске простились с врачом Владимиром Куницким;20;Общество;109017;https://news.tut.by/society/687082.html
Глава КГБ: То, что сейчас происходит, мы знали об этом;173;Выборы;408732;https://news.tut.by/elections/686909.html
Дело по инциденту в Гродно: Тихановская не может найти мужа, еще одного задержанного перевели в Минск;134;Выборы;82701;https://news.tut.by/elections/687098.html
Умер 15-летний школьник, который потерял сознание в бассейне;13;Общество;83335;https://news.tut.by/society/687095.html
«Не сопротивляться, в первые минуты позвонить родным». Что делать, если на пикете начинаются задержания;225;Общество;109599;https://news.tut.by/society/687042.html
Хотите быстро продавать в интернете? Приходите на KUPI.TUT.BY;0;Новости компаний;155340;https://news.tut.by/press/500629.html
Лукашенко: Люди должны пойти сами и дискутировать. Хотят на кухне — пожалуйста;639;Выборы;390493;https://news.tut.by/elections/686856.html
В морге в Брестской области родственники забрали пакет с телом чужой женщины и успели ее похоронить;25;Общество;90247;https://news.tut.by/society/686921.html
Как канал «отчислено» собрал крупнейшее сообщество студентов и получил приглашение в РУВД;25;Общество;52430;https://news.tut.by/society/687076.html
Каких успехов достигла экономика Беларуси за 26 лет, а что ей не удалось;250;Деньги и власть;138373;https://news.tut.by/economics/686617.html
В Гродно пропала одна из машин команды Тихановского, владелец заявил об угоне. Что известно о задержанных;27;Выборы;69441;https://news.tut.by/elections/687078.html
«Час назад говорили, что заразен. А потом закрыли больничный». Как теперь выписывают пациентов с COVID;35;Общество;79160;https://news.tut.by/society/687024.html
Знаете ли вы симптомы пневмонии? Тест, чтобы проверить себя;12;Болезни;41581;https://health.tut.by/news/disease/687114.html
Каким будет лето в этом году: жарким или прохладным и дождливым?;51;Общество;239503;https://news.tut.by/society/686839.html
«Оно сродни атомной станции». Лукашенко рассказал о строящемся за китайские деньги предприятии АПК;95;Деньги и власть;79891;https://news.tut.by/economics/687045.html
В Беларуси зарегистрировали 43 403 случая COVID-19. Прирост за сутки — 847 инфицированных;142;Общество;218187;https://news.tut.by/society/686833.html
